"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","DBS Group","D05.SI","65157130700","25.32","Singapore"
"2","OCBC Bank","O39.SI","40864457238","9.09","Singapore"
"3","UOB","U11.SI","38371794525","22.91","Singapore"
"4","Singtel","Z74.SI","31683620839","1.92","Singapore"
"5","Sea (Garena)","SE","29227227136","52.03","Singapore"
"6","Wilmar International","F34.SI","19429093823","3.11","Singapore"
"7","Grab Holdings","GRAB","12401283072","3.22","Singapore"
"8","Singapore Airlines","C6L.SI","12261015101","4.13","Singapore"
"9","CapitaLand Mall Trust","C38U.SI","10102735238","1.52","Singapore"
"10","Flex","FLEX","9716744192","21.46","Singapore"
"11","Keppel","BN4.SI","9493380337","5.42","Singapore"
"12","Genting Singapore","G13.SI","8604836017","0.71","Singapore"
"13","Ascendas Reit","A17U.SI","8597501860","2.05","Singapore"
"14","Jardine Cycle &amp; Carriage","C07.SI","8436893292","21.35","Singapore"
"15","ST Engineering","SJX.F","7736349069","2.49","Singapore"
"16","Singapore Exchange","S68.SI","7142631581","6.68","Singapore"
"17","Great Eastern","G07.SI","6535603189","13.81","Singapore"
"18","Mapletree Commercial Trust","N2IU.SI","6526511921","1.25","Singapore"
"19","BOC Aviation","2588.HK","5789711604","8.34","Singapore"
"20","Mapletree Logistics Trust","M44U.SI","5707623371","1.19","Singapore"
"21","City Developments","C09.SI","5570827503","6.14","Singapore"
"22","Sembcorp","U96.SI","4504724120","2.52","Singapore"
"23","Mapletree Industrial Trust","ME8U.SI","4481573298","1.66","Singapore"
"24","UOL Group","U14.SI","4236308559","5.02","Singapore"
"25","Olam","VC2.SI","4181007362","1.09","Singapore"
"26","Venture Corporation","V03.SI","3706838346","12.73","Singapore"
"27","Sembcorp Marine","S51.SI","3233091220","0.1","Singapore"
"28","Frasers Logistics &amp; Industrial Trust","BUOU.SI","3213506589","0.87","Singapore"
"29","Suntec REIT","T82U.SI","2956380594","1.03","Singapore"
"30","Keppel REIT","K71U.SI","2541737788","0.68","Singapore"
"31","Kulicke and Soffa Industries","KLIC","2523660800","44.26","Singapore"
"32","NetLink Trust","CJLU.SI","2414155092","0.62","Singapore"
"33","United Industrial Corporation","U06.SI","2405961678","1.68","Singapore"
"34","SATS","S58.SI","2382945944","2.12","Singapore"
"35","ComfortDelGro","C52.SI","1989316997","0.92","Singapore"
"36","TDCX","TDCX","1804546048","12.38","Singapore"
"37","Kenon Holdings","KEN","1778185216","33","Singapore"
"38","HPH Trust (Hutchison Port)","NS8U.SI","1689953536","0.19","Singapore"
"39","Yanlord","Z25.SI","1470496158","0.76","Singapore"
"40","Singapore Post","S08.SI","873163780","0.39","Singapore"
"41","Pacific Century Regional Developments","P15.SI","820258451","0.31","Singapore"
"42","Maxeon Solar Technologies","MAXN","722645376","16.06","Singapore"
"43","Karooooo","KARO","721160576","23.3","Singapore"
"44","PropertyGuru","PGRU","696797696","4.31","Singapore"
"45","Riverstone Holdings","AP4.SI","680351193","0.46","Singapore"
"46","Wave Life Sciences","WVE","608367232","7","Singapore"
"47","IGG Inc","0799.HK","444556498","0.37","Singapore"
"48","Grindrod Shipping","GRIN","355424512","18.71","Singapore"
"49","Society Pass","SOPA","26394192","0.99","Singapore"
"50","Triterras","TRIRF","17600542","0.23","Singapore"
"51","CMON","1792.HK","11331583","0.01","Singapore"
"52","Genius Group","GNS","8155338","0.33","Singapore"
"53","Guardforce AI","GFAI","6958670","0.13","Singapore"
